candidate_id,job_title,job_description,required_education,required_skills,required_experience,candidate_education,candidate_skills,candidate_experience,hired
1,Data Science Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Databases', 'Writing']",0.0,Associate’s,"['Databases', 'ML', 'Python', 'Node.js']",1.0,1
2,Software Engineering Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['Excel', 'Writing', 'ML', 'Java']",0.0,Associate’s,"['Adobe Illustrator', 'Java', 'Excel', 'SQL', 'Databases']",2.0,0
3,Graphic Design Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,High School,"['Photoshop', 'Writing']",0.5,Diploma,"['Java', 'Networking', 'Writing']",1.0,0
4,Backend Developer Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Bachelor’s,"['React', 'Node.js', 'Python', 'Problem-Solving', 'Databases']",2.0,Master’s,"['Networking', 'SQL', 'Writing']",4.0,0
5,Marketing Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Photoshop', 'Adobe Illustrator', 'Digital Marketing', 'React', 'Java']",3.0,Diploma,"['Excel', 'React']",3.0,0
6,Marketing Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Digital Marketing', 'Financial Modeling', 'Node.js']",0.0,Diploma,"['Security Protocols', 'SQL']",4.0,0
7,Software Engineering Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Associate’s,"['Networking', 'Problem-Solving', 'Photoshop', 'Writing', 'Financial Modeling']",0.5,High School,"['Photoshop', 'Java', 'Digital Marketing', 'Excel']",1.0,0
8,Data Science Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Master’s,"['Writing', 'Financial Modeling', 'SQL']",3.0,Associate’s,"['Security Protocols', 'Writing', 'Python', 'Adobe Illustrator']",0.0,0
9,Software Engineering Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Diploma,"['SQL', 'Problem-Solving', 'Databases', 'ML']",3.0,Associate’s,"['Adobe Illustrator', 'React', 'Java']",0.0,0
10,Marketing Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,Associate’s,"['Python', 'Databases', 'Adobe Illustrator']",1.0,High School,"['Adobe Illustrator', 'Security Protocols', 'Java']",0.5,0
11,Backend Developer Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Bachelor’s,"['Financial Modeling', 'Excel', 'ML', 'Node.js', 'Python']",1.0,Associate’s,"['Excel', 'Digital Marketing', 'Python']",0.5,0
12,Data Science Intern,Marketing intern needed. Must have strong writing and digital marketing skills. Prior experience preferred.,High School,"['Python', 'Excel', 'Networking']",0.5,Associate’s,"['Financial Modeling', 'Java', 'Networking']",4.0,0
13,Marketing Intern,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,High School,"['Node.js', 'SQL', 'Problem-Solving', 'Java', 'Excel']",2.0,High School,"['Excel', 'ML']",2.0,1
14,Finance Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Master’s,"['Adobe Illustrator', 'Excel', 'Security Protocols', 'React']",2.0,Diploma,"['Security Protocols', 'Photoshop']",4.0,0
15,Software Engineering Intern,Backend development internship focusing on Node.js and databases. At least 1 year experience required.,Bachelor’s,"['SQL', 'Photoshop', 'Adobe Illustrator', 'Digital Marketing', 'Networking']",2.0,High School,"['Problem-Solving', 'Networking']",2.0,0
16,Marketing Intern,"Software engineering internship requiring Java, React, and problem-solving skills. At least 6 months experience needed.",Diploma,"['Excel', 'Networking']",0.0,Bachelor’s,"['Node.js', 'Photoshop', 'Python', 'React', 'ML']",4.0,0
17,Graphic Design Intern,Finance attachment for students with knowledge of financial modeling and Excel. Some prior experience preferred.,Bachelor’s,"['React', 'ML', 'Digital Marketing', 'Adobe Illustrator']",0.5,Diploma,"['Writing', 'Python', 'Adobe Illustrator', 'React', 'Databases']",1.0,0
18,Finance Attachment,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Bachelor’s,"['Networking', 'Writing']",0.0,Master’s,"['Networking', 'Databases', 'React']",1.0,0
19,Software Engineering Intern,Graphic design internship for students skilled in Adobe Illustrator and Photoshop. No experience required.,Associate’s,"['Adobe Illustrator', 'Java', 'Problem-Solving', 'Excel']",0.0,Bachelor’s,"['SQL', 'Photoshop', 'Problem-Solving', 'Digital Marketing', 'Adobe Illustrator']",1.0,0
20,Finance Attachment,Cybersecurity attachment for students with basic knowledge of networking and security protocols. 3 months experience preferred.,Bachelor’s,"['Problem-Solving', 'Java', 'Networking']",2.0,Master’s,"['Financial Modeling', 'Problem-Solving', 'Adobe Illustrator']",2.0,0
21,Backend Developer Intern,"Looking for a data science intern skilled in Python, ML, and SQL. Preferred: Bachelor's degree. No experience required.",Diploma,"['Financial Modeling', 'Problem-Solving', 'Digital Marketing']",1.0,Associate’s,"['Java', 'Node.js', 'ML', 'Financial Modeling']",0.5,0
